date,home_team,away_team,home_score,away_score
2023-08-18T18:30:00Z,SV Werder Bremen,FC Bayern München,0,4
2023-08-19T13:30:00Z,Bayer 04 Leverkusen,RB Leipzig,3,2
2023-08-19T13:30:00Z,VfL Wolfsburg,1. FC Heidenheim 1846,2,0
2023-08-19T13:30:00Z,TSG 1899 Hoffenheim,SC Freiburg,1,2
2023-08-19T13:30:00Z,FC Augsburg,Borussia Mönchengladbach,4,4
2023-08-19T13:30:00Z,VfB Stuttgart,VfL Bochum 1848,5,0
2023-08-19T16:30:00Z,Borussia Dortmund,1. FC Köln,1,0
2023-08-20T13:30:00Z,1. FC Union Berlin,1. FSV Mainz 05,4,1
2023-08-20T15:30:00Z,Eintracht Frankfurt,SV Darmstadt 98,1,0
2023-08-25T18:30:00Z,RB Leipzig,VfB Stuttgart,5,1
2023-08-26T13:30:00Z,SC Freiburg,SV Werder Bremen,1,0
2023-08-26T13:30:00Z,1. FC Köln,VfL Wolfsburg,1,2
2023-08-26T13:30:00Z,VfL Bochum 1848,Borussia Dortmund,1,1
2023-08-26T13:30:00Z,1. FC Heidenheim 1846,TSG 1899 Hoffenheim,2,3
2023-08-26T13:30:00Z,SV Darmstadt 98,1. FC Union Berlin,1,4
2023-08-26T16:30:00Z,Borussia Mönchengladbach,Bayer 04 Leverkusen,0,3
2023-08-27T13:30:00Z,1. FSV Mainz 05,Eintracht Frankfurt,1,1
2023-08-27T15:30:00Z,FC Bayern München,FC Augsburg,3,1
2023-09-01T18:30:00Z,Borussia Dortmund,1. FC Heidenheim 1846,2,2
2023-09-02T13:30:00Z,Bayer 04 Leverkusen,SV Darmstadt 98,5,1
2023-09-02T13:30:00Z,TSG 1899 Hoffenheim,VfL Wolfsburg,3,1
2023-09-02T13:30:00Z,SV Werder Bremen,1. FSV Mainz 05,4,0
2023-09-02T13:30:00Z,FC Augsburg,VfL Bochum 1848,2,2
2023-09-02T13:30:00Z,VfB Stuttgart,SC Freiburg,5,0
2023-09-02T16:30:00Z,Borussia Mönchengladbach,FC Bayern München,1,2
2023-09-03T13:30:00Z,Eintracht Frankfurt,1. FC Köln,1,1
2023-09-03T15:30:00Z,1. FC Union Berlin,RB Leipzig,0,3
2023-09-15T18:30:00Z,FC Bayern München,Bayer 04 Leverkusen,2,2
2023-09-16T13:30:00Z,RB Leipzig,FC Augsburg,3,0
2023-09-16T13:30:00Z,SC Freiburg,Borussia Dortmund,2,4
2023-09-16T13:30:00Z,VfL Wolfsburg,1. FC Union Berlin,2,1
2023-09-16T13:30:00Z,1. FSV Mainz 05,VfB Stuttgart,1,3
2023-09-16T13:30:00Z,1. FC Köln,TSG 1899 Hoffenheim,1,3
2023-09-16T16:30:00Z,VfL Bochum 1848,Eintracht Frankfurt,1,1
2023-09-17T13:30:00Z,1. FC Heidenheim 1846,SV Werder Bremen,4,2
2023-09-17T15:30:00Z,SV Darmstadt 98,Borussia Mönchengladbach,3,3
2023-09-22T18:30:00Z,VfB Stuttgart,SV Darmstadt 98,3,1
2023-09-23T13:30:00Z,FC Bayern München,VfL Bochum 1848,7,0
2023-09-23T13:30:00Z,Borussia Dortmund,VfL Wolfsburg,1,0
2023-09-23T13:30:00Z,1. FC Union Berlin,TSG 1899 Hoffenheim,0,2
2023-09-23T13:30:00Z,Borussia Mönchengladbach,RB Leipzig,0,1
2023-09-23T13:30:00Z,FC Augsburg,1. FSV Mainz 05,2,1
2023-09-23T16:30:00Z,SV Werder Bremen,1. FC Köln,2,1
2023-09-24T13:30:00Z,Bayer 04 Leverkusen,1. FC Heidenheim 1846,4,1
2023-09-24T15:30:00Z,Eintracht Frankfurt,SC Freiburg,0,0
2023-09-29T18:30:00Z,TSG 1899 Hoffenheim,Borussia Dortmund,1,3
2023-09-30T13:30:00Z,VfL Wolfsburg,Eintracht Frankfurt,2,0
2023-09-30T13:30:00Z,1. FSV Mainz 05,Bayer 04 Leverkusen,0,3
2023-09-30T13:30:00Z,1. FC Köln,VfB Stuttgart,0,2
2023-09-30T13:30:00Z,VfL Bochum 1848,Borussia Mönchengladbach,1,3
2023-09-30T13:30:00Z,1. FC Heidenheim 1846,1. FC Union Berlin,1,0
2023-09-30T16:30:00Z,RB Leipzig,FC Bayern München,2,2
2023-10-01T13:30:00Z,SV Darmstadt 98,SV Werder Bremen,4,2
2023-10-01T15:30:00Z,SC Freiburg,FC Augsburg,2,0
2023-10-06T18:30:00Z,Borussia Mönchengladbach,1. FSV Mainz 05,2,2
2023-10-07T13:30:00Z,Borussia Dortmund,1. FC Union Berlin,4,2
